Animal ID,Intake Type,In Date,Pet name,Animal Type,Pet Age,Pet Size,Color,Breed,Sex,URL Link ,Crossing
A527054,OWNER SUR,01/02/2025,BANDIT,OTHER,NO AGE,SMALL,GRAY,MOUSE,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A527054&location=MONT,
A525382,OWNER SUR,11/04/2024,*ROCKEFELLER,DOG,2 YEARS,MED,TAN,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A525382&location=MONT,
A448342,OWNER SUR,12/26/2024,ZERO,DOG,7 YEARS,LARGE,GRAY,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A448342&location=MONT,
A526053,OWNER SUR,11/26/2024,BENJI,DOG,7 YEARS,MED,BROWN / WHITE,BOXER / GERM SHEPHERD,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A526053&location=MONT,
A527119,OWNER SUR,01/04/2025,*SURHOFF,BIRD,NO AGE,SMALL,BLUE,PARAKEET,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A527119&location=MONT,
A527120,OWNER SUR,01/04/2025,*TETTLETON,BIRD,NO AGE,SMALL,GREEN,PARAKEET,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A527120&location=MONT,
A527117,OWNER SUR,01/04/2025,*RIPKEN,BIRD,NO AGE,SMALL,BLUE,PARAKEET,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A527117&location=MONT,
A527118,OWNER SUR,01/04/2025,*ANDERSON,BIRD,NO AGE,SMALL,BLUE,PARAKEET,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A527118&location=MONT,
A527116,OWNER SUR,01/04/2025,*JETER,BIRD,NO AGE,SMALL,BLUE,PARAKEET,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A527116&location=MONT,
A513362,OWNER SUR,01/02/2025,*RAFAELA,OTHER,2 YEARS,SMALL,BROWN / WHITE,RABBIT SH,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A513362&location=MONT,
A526170,OWNER SUR,12/02/2024,*MACHO,DOG,1 YEAR 1 MONTH,LARGE,TAN / WHITE,SIBERIAN HUSKY / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A526170&location=MONT,
A526579,OWNER SUR,12/13/2024,JOJO,DOG,1 YEAR 1 MONTH,MED,BRINDLE,CANE CORSO / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A526579&location=MONT,
A433059,OWNER SUR,09/12/2024,*FRANCOIS,DOG,7 YEARS,MED,BROWN / WHITE,SIBERIAN HUSKY,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A433059&location=MONT,
A471137,OWNER SUR,12/22/2024,SPARKY,DOG,7 YEARS,LARGE,BLACK / TAN,GERM SHEPHERD / SIBERIAN HUSKY,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A471137&location=MONT,
A526912,CONFISCATE,12/30/2024,HENNESSY,DOG,9 MONTHS,MED,FAWN,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A526912&location=MONT,
A513657,OWNER SUR,01/02/2025,SIMBA,DOG,2 YEARS,MED,BLACK / WHITE,GERM SHEPHERD / ALASKAN HUSKY,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A513657&location=MONT,
A525472,OWNER SUR,11/07/2024,COCO,CAT,7 YEARS,MED,WHITE / BLACK,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A525472&location=MONT,
A521551,FOSTER,01/10/2025,PEANUT,DOG,6 YEARS,MED,GRAY / WHITE,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A521551&location=MONT,
A527277,OWNER SUR,01/11/2025,BROOKLYN,OTHER,2 YEARS,MED,GREEN / BROWN,TURTLE / REDEARED SLIDER,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A527277&location=MONT,
A524562,OWNER SUR,10/13/2024,PIGGY,OTHER,NO AGE,MED,BROWN,TURTLE / REDEARED SLIDER,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A524562&location=MONT,
A526998,RETURN,01/12/2025,JUNIE,DOG,1 YEAR 6 MONTHS,MED,BLACK / WHITE,AM PIT BULL TER / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A526998&location=MONT,
A527309,OWNER SUR,01/12/2025,SUN,OTHER,4 YEARS,MED,WHITE / BLACK,RABBIT SH,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A527309&location=MONT,
A527310,OWNER SUR,01/12/2025,MOON,OTHER,4 YEARS,MED,WHITE / BLACK,RABBIT SH,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A527310&location=MONT,
A489098,OWNER SUR,12/23/2024,STORMY,CAT,6 YEARS,MED,BLACK,BOMBAY,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A489098&location=MONT,
A527121,OWNER SUR,01/04/2025,*BELLE,BIRD,NO AGE,SMALL,GREEN / YELLOW,PARAKEET,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A527121&location=MONT,
A526729,OWNER SUR,12/20/2024,JAXON,DOG,3 YEARS,MED,BLACK / WHITE,AM PIT BULL TER / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A526729&location=MONT,
A506612,CONFISCATE,09/16/2024,CHI CHI,DOG,4 YEARS,LARGE,TAN,AM PIT BULL TER / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A506612&location=MONT,
A522396,RETURN,10/25/2024,*CASHMERE,DOG,3 YEARS,MED,TAN / WHITE,FEIST / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A522396&location=MONT,
A525746,OWNER SUR,12/20/2024,ASHTON,DOG,2 YEARS,MED,BLACK,LABRADOR RETR / AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A525746&location=MONT,
A526647,OWNER SUR,01/10/2025,BRONX,DOG,1 YEAR 10 MONTHS,LARGE,BLACK / TAN,ROTTWEILER / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A526647&location=MONT,
A476852,RETURN,12/04/2024,TAZ,DOG,6 YEARS,MED,BLACK,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A476852&location=MONT,
A471139,OWNER SUR,12/22/2024,ROCKY,DOG,7 YEARS,LARGE,BLACK / TAN,GERM SHEPHERD / SIBERIAN HUSKY,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A471139&location=MONT,
A523441,RETURN,01/02/2025,CHANEL-DIAMOND,DOG,3 YEARS,LARGE,GRAY / WHITE,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A523441&location=MONT,
A524057,OWNER SUR,01/14/2025,*MARGARITA,DOG,9 MONTHS,MED,BLACK / WHITE,LABRADOR RETR / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A524057&location=MONT,
A526054,CONFISCATE,11/27/2024,MARLEY,DOG,3 YEARS,SMALL,TAN,MALTESE / CHIHUAHUA LH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A526054&location=MONT,
A526911,CONFISCATE,12/30/2024,ZOO,DOG,4 YEARS,MED,FAWN,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A526911&location=MONT,
A525264,OWNER SUR,11/01/2024,HARLEY,DOG,2 YEARS,MED,CHOCOLATE / WHITE,NS DUCK TOLLING / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A525264&location=MONT,
A525829,STRAY,11/19/2024,*RADAR,DOG,2 YEARS,MED,WHITE / BLACK,AM PIT BULL TER / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A525829&location=MONT,"7200 PHELPS HILL CT, DERWOOD MD 20855"
A527080,STRAY,01/03/2025,JACK,OTHER,3 YEARS,TOY,TRI/BROWN / WHITE,GUINEA PIG,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A527080&location=MONT,"800 OLNEY SANDY SPRING RD, SANDY SPRING MD 20860"
A526688,STRAY,12/18/2024,*MARCH,DOG,2 YEARS,LARGE,BROWN,AM PIT BULL TER / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A526688&location=MONT,"4200 ROUND HILL RD, SILVER SPRING MD 20906"
A526957,STRAY,12/30/2024,*BIG CHEESE,OTHER,NO AGE,SMALL,BLACK / WHITE,MOUSE,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A526957&location=MONT,"22700 CLARKSBURG RD, CLARKSBURG MD 20871"
A445243,STRAY,12/18/2024,MAGIC,DOG,7 YEARS,LARGE,BRINDLE / BROWN,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A445243&location=MONT,"0 REDLAND RD, DERWOOD MD 20855"
A526795,STRAY,12/22/2024,*AMBASSADOR,DOG,11 MONTHS,MED,WHITE / BLACK,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A526795&location=MONT,"7400 MAPLE AVE, TAKOMA PARK MD 20912"
A526450,STRAY,01/03/2025,LISA,DOG,6 MONTHS,MED,TAN,AMERICAN STAFF,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A526450&location=MONT,"0 CRESTWOOD DR, GAITHERSBURG MD 20877"
A526414,STRAY,12/09/2024,*MIDNIGHT,DOG,1 YEAR 1 MONTH,LARGE,BLACK,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A526414&location=MONT,"12400 GREAT PARK CIR, GERMANTOWN MD 20876"
